[2025-02-11 13:45:25] INFO - Vocabulary size: 72
[2025-02-11 13:45:25] INFO - Saved vocabulary to checkpoints/vocab.pkl
[2025-02-11 13:45:25] INFO - Preparing dataloader and model for training
[2025-02-11 13:45:32] INFO - ----------------------- Start Training -----------------------
[2025-02-11 13:45:48] INFO - Epoch 1/15, Loss: 0.0282
[2025-02-11 13:46:04] INFO - Epoch 2/15, Loss: 0.0043
[2025-02-11 13:46:21] INFO - Epoch 3/15, Loss: 0.0030
[2025-02-11 13:46:37] INFO - Epoch 4/15, Loss: 0.0026
[2025-02-11 13:46:53] INFO - Epoch 5/15, Loss: 0.0020
[2025-02-11 13:47:10] INFO - Epoch 6/15, Loss: 0.0025
[2025-02-11 13:47:26] INFO - Epoch 7/15, Loss: 0.0017
[2025-02-11 13:47:44] INFO - Epoch 8/15, Loss: 0.0014
[2025-02-11 13:48:00] INFO - Epoch 9/15, Loss: 0.0010
[2025-02-11 13:48:18] INFO - Epoch 10/15, Loss: 0.0008
[2025-02-11 13:48:34] INFO - Epoch 11/15, Loss: 0.0008
[2025-02-11 13:48:51] INFO - Epoch 12/15, Loss: 0.0007
[2025-02-11 13:49:08] INFO - Epoch 13/15, Loss: 0.0008
[2025-02-11 13:49:24] INFO - Epoch 14/15, Loss: 0.0005
[2025-02-11 13:49:41] INFO - Epoch 15/15, Loss: 0.0005
[2025-02-11 13:49:41] INFO - ------------------------ End Training ------------------------
[2025-02-11 14:46:08] INFO - Vocabulary size: 72
[2025-02-11 14:46:08] INFO - Saved vocabulary to checkpoints/vocab.pkl
[2025-02-11 14:46:08] INFO - Preparing dataloader and model for training
[2025-02-11 14:46:15] INFO - ----------------------- Start Training -----------------------
[2025-02-11 14:46:32] INFO - Epoch 1/15, Loss: 0.0228
[2025-02-11 14:46:50] INFO - Epoch 2/15, Loss: 0.0053
[2025-02-11 14:47:07] INFO - Epoch 3/15, Loss: 0.0038
[2025-02-11 14:47:26] INFO - Epoch 4/15, Loss: 0.0028
[2025-02-11 14:47:46] INFO - Epoch 5/15, Loss: 0.0024
[2025-02-11 14:48:05] INFO - Epoch 6/15, Loss: 0.0020
[2025-02-11 14:48:22] INFO - Epoch 7/15, Loss: 0.0016
[2025-02-11 14:48:40] INFO - Epoch 8/15, Loss: 0.0014
[2025-02-11 14:48:57] INFO - Epoch 9/15, Loss: 0.0013
[2025-02-11 14:49:15] INFO - Epoch 10/15, Loss: 0.0011
[2025-02-11 14:49:33] INFO - Epoch 11/15, Loss: 0.0011
[2025-02-11 14:49:51] INFO - Epoch 12/15, Loss: 0.0011
[2025-02-11 14:50:09] INFO - Epoch 13/15, Loss: 0.0009
[2025-02-11 14:50:27] INFO - Epoch 14/15, Loss: 0.0007
[2025-02-11 14:50:44] INFO - Epoch 15/15, Loss: 0.0006
[2025-02-11 14:50:44] INFO - ------------------------ End Training ------------------------
